id,memspec,mcconfig,addressmapping
218,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_ddr3_4x4Gbx16_dimm_p2KB_rbc.json
219,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_ddr3_8x1Gbx8_dimm_p1KB_brc.json
220,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_ddr3_8x1Gbx8_dimm_p1KB_rbc.json
221,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_ddr3_8x2Gbx8_dimm_p1KB_brc.json
222,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_ddr3_8x2Gbx8_dimm_p1KB_rbc.json
223,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_ddr3_x16_brc.json
224,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_ddr3_x16_rbc.json
225,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_ddr4_8x4Gbx8_dimm_p1KB_brc.json
226,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_hbm2_8Gb_pc_brc.json
227,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_lpddr4_1Gbx16_baroco.json
228,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_lpddr4_1Gbx16_robaco.json
229,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_lpddr4_1Gbx16_rocoba.json
230,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_lpddr4_512Mbx16_baroco.json
231,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_lpddr4_512Mbx16_robaco.json
232,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_lpddr4_512Mbx16_rocoba.json
233,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_lpddr4_8Gbx16_brc.json
234,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_stt-mram_8x2Gbx8_dimm_p1KB_rbc.json
235,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_wideio2_4x64_4x2Gb_brc.json
236,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_wideio2_4x64_4x2Gb_rbc.json
237,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_wideio_4x1Gb_brc.json
238,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_wideio_4x1Gb_rbc.json
239,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_wideio_4x256Mb_brc.json
240,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_wideio_4x256Mb_rbc.json
241,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_wideio_4x2Gb_brc.json
242,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_wideio_4x2Gb_rbc.json
243,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_wideio_4x4Gb_brc.json
244,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_wideio_4x4Gb_rbc.json
245,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_wideio_4x512Mb_brc.json
246,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_wideio_4x512Mb_rbc.json
247,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_wideio_thermal.json
248,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_ddr3_4x4Gbx16_dimm_p2KB_brc.json
249,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_ddr3_4x4Gbx16_dimm_p2KB_rbc.json
250,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_ddr3_8x1Gbx8_dimm_p1KB_brc.json
251,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_ddr3_8x1Gbx8_dimm_p1KB_rbc.json
252,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_ddr3_8x2Gbx8_dimm_p1KB_brc.json
253,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_ddr3_8x2Gbx8_dimm_p1KB_rbc.json
254,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_ddr3_x16_brc.json
255,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_ddr3_x16_rbc.json
256,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_ddr4_8x4Gbx8_dimm_p1KB_brc.json
257,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_hbm2_8Gb_pc_brc.json
258,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_lpddr4_1Gbx16_baroco.json
259,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_lpddr4_1Gbx16_robaco.json
260,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_lpddr4_1Gbx16_rocoba.json
261,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_lpddr4_512Mbx16_baroco.json
262,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_lpddr4_512Mbx16_robaco.json
263,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_lpddr4_512Mbx16_rocoba.json
264,JEDEC_1Gbx16_LPDDR4-0533.json,fifoStrict.json,am_lpddr4_8Gbx16_brc.json
